,199-D5-127
2015-02-11,25.326927185058594
2017-08-26,5.469325542449951
2016-09-08,12.599597930908203
2015-04-10,22.385465621948242
2016-05-11,7.705867290496826
2017-03-04,2.5382497310638428
2016-09-23,13.413358688354492
2018-03-18,7.441125392913818
2018-03-13,7.317734241485596
2016-06-13,2.524747848510742
2016-09-24,13.307313919067383
2015-07-28,12.412858009338379
2015-03-25,23.840450286865234
2018-03-20,7.5054192543029785
2015-09-08,10.356788635253906
2017-06-14,9.734597206115723
2015-03-18,24.225093841552734
2015-08-17,12.358077049255371
2016-04-25,15.132473945617676
2016-07-31,11.02498722076416
2017-11-14,5.958182334899902
2016-06-20,5.139534950256348
2018-02-04,6.541457653045654
2018-09-01,2.712519645690918
2017-05-20,6.908370494842529
2017-06-11,9.472772598266602
2018-12-17,6.6985039710998535
2017-01-16,4.635368824005127
2016-03-15,16.870389938354492
2016-02-24,14.207296371459961
2016-12-14,4.3139729499816895
2018-02-01,6.574254512786865
2018-12-18,6.397292613983154
2015-11-20,9.245685577392578
2018-11-25,8.781635284423828
2018-08-02,4.4439311027526855
2016-12-20,3.633971691131592
2016-08-25,11.942887306213379
2017-10-05,7.670812129974365
2017-06-18,10.004714012145996
2016-10-16,10.0448579788208
2015-07-20,11.659832000732422
2015-12-16,7.124740123748779
2018-06-04,4.1015496253967285
2017-04-03,3.8075509071350098
2018-12-16,6.986484050750732
2017-06-21,10.112070083618164
2018-04-28,8.316797256469727
2017-12-25,8.715743064880371
2018-01-20,7.076361179351807
2017-04-05,4.099167823791504
2017-07-26,7.504281520843506
2018-10-19,1.8360178470611572
2017-02-03,6.1765217781066895
2015-12-22,7.563796043395996
2016-07-01,7.66377067565918
2018-07-17,5.424648761749268
2016-03-28,18.124496459960938
2018-07-16,5.455038070678711
2015-07-31,12.476625442504883
2015-06-30,8.77858829498291
2018-03-12,7.300260543823242
2016-01-31,11.011802673339844
2015-09-02,11.053437232971191
2017-02-10,6.027636528015137
2015-10-02,10.0984525680542
2015-07-25,12.261467933654785
2018-11-29,8.900084495544434
2015-10-14,10.510034561157227
2016-01-28,10.836827278137207
2018-07-05,5.5001044273376465
2015-08-09,12.473755836486816
2018-06-15,4.482287406921387
2016-03-04,15.383356094360352
2015-02-04,25.326927185058594
2015-03-27,23.68531036376953
2015-08-23,12.108197212219238
2015-06-06,8.843520164489746
2015-11-28,8.203773498535156
2017-04-08,4.537923336029053
2016-12-08,5.196983814239502
2016-09-14,12.800657272338867
2015-11-11,10.613126754760742
2016-02-05,11.287368774414062
2015-12-30,8.269124031066895
2018-07-28,4.819774627685547
2017-10-18,7.284611701965332
2018-10-08,1.2310590744018555
2017-07-02,10.053409576416016
2016-05-24,2.555910110473633
2015-03-09,24.587261199951172
2018-07-22,5.194555282592773
2018-07-23,5.137547492980957
2018-09-23,1.440415620803833
2016-08-19,11.72718334197998
2016-04-16,17.890974044799805
2016-11-23,6.463138103485107
2016-01-29,10.897883415222168
2018-08-20,3.2074670791625977
2017-05-09,6.508605480194092
2015-12-14,7.059641361236572
2018-10-16,1.5902774333953857
2015-11-26,8.455802917480469
2015-05-15,14.281020164489746
2017-05-05,6.317728042602539
2015-01-10,25.326927185058594
2018-06-25,5.091843605041504
2015-01-11,25.326927185058594
2018-03-31,8.04200267791748
2018-11-20,8.249260902404785
2017-05-22,7.035675048828125
2016-10-25,8.842720031738281
2015-10-12,10.41629695892334
2018-06-11,4.275806903839111
2016-01-06,8.828142166137695
2016-07-29,10.955617904663086
2017-09-13,6.613518238067627
2015-05-06,17.022083282470703
2016-02-12,12.163457870483398
2018-02-12,6.541276454925537
2018-05-23,4.823862075805664
2016-07-07,8.975144386291504
2016-06-25,6.316687107086182
2015-05-20,12.720139503479004
2015-09-18,9.968331336975098
2016-04-18,17.380329132080078
2015-06-15,7.904663562774658
2015-08-15,12.401334762573242
2018-02-23,6.820292949676514
2015-07-11,10.32053279876709
2015-11-03,11.047026634216309
2016-09-04,12.445817947387695
2018-01-22,6.931278228759766
2018-10-02,1.179732322692871
2016-04-27,14.482192993164062
2018-03-23,7.611695766448975
2017-05-18,6.804330825805664
2018-12-28,3.7437407970428467
2015-11-17,9.722611427307129
2018-03-09,7.250865936279297
2018-08-08,3.906440496444702
2015-01-18,25.326927185058594
2016-08-16,11.654448509216309
2016-03-06,15.646833419799805
2018-11-23,8.631583213806152
2017-09-20,7.285243034362793
2018-07-11,5.5258307456970215
2017-09-22,7.421919822692871
2017-10-11,7.594415187835693
2015-07-27,12.376304626464844
2015-08-26,11.875022888183594
2018-09-11,2.1484317779541016
2015-12-12,7.046888828277588
2018-11-06,4.668376445770264
2017-02-02,6.153487682342529
2015-12-07,7.25336217880249
2017-10-21,7.051682472229004
2016-04-02,18.58018684387207
2015-06-25,8.170943260192871
2016-07-03,8.176451683044434
2015-10-28,11.083537101745605
2016-04-04,18.7430362701416
2016-11-14,6.580732345581055
2016-09-06,12.53030776977539
2018-06-10,4.230297088623047
2018-04-16,8.824731826782227
2018-12-21,5.471721649169922
2018-03-14,7.337733268737793
2018-01-03,8.535764694213867
2016-10-22,9.161273002624512
2016-04-08,18.8664608001709
2016-10-23,9.041952133178711
2015-11-23,8.842364311218262
2018-05-27,4.369926452636719
2016-12-04,5.76662540435791
2018-10-17,1.6633493900299072
2018-04-24,8.612433433532715
2015-03-01,25.16763687133789
2015-01-14,25.326927185058594
2018-12-22,5.177178859710693
2018-08-13,3.555717945098877
2017-07-29,7.132420063018799
2018-02-27,6.957488059997559
2018-10-28,3.079590320587158
2017-09-04,6.0127787590026855
2017-09-18,7.102146625518799
2015-11-19,9.391731262207031
2017-01-18,4.9196906089782715
2016-03-17,17.110395431518555
2018-11-14,6.776885509490967
2016-11-28,6.328660488128662
2016-07-08,9.120030403137207
2015-09-14,10.003861427307129
2016-07-14,9.787089347839355
2016-10-31,8.302680015563965
2016-11-06,7.350478649139404
2017-11-29,6.751410961151123
2015-03-14,24.357023239135742
2015-09-15,9.983877182006836
2017-07-30,6.995265483856201
2015-01-03,25.326927185058594
2018-08-17,3.3396341800689697
2018-02-09,6.528679847717285
2016-10-09,11.197912216186523
2016-01-03,8.616783142089844
2018-01-05,8.401063919067383
2017-04-14,5.20148229598999
2016-04-24,15.436014175415039
2018-10-21,2.048870325088501
2017-03-24,2.268336057662964
2016-08-08,11.403263092041016
